variant,seed,class,source_label_id,prediction_class_id,targets,P,R,F1,mAP50,mAP75,mAP50-95,APS,APM,APL
ts,2,starfish,2,2,1133,83.22001519557539,83.60644601152146,83.41278304632509,89.24548195381118,63.717971420998765,55.60334860506868,19.64405331299155,54.247943973386484,55.60780488322248
ts,0,holothurian,3,3,1022,77.639525544446,68.39530332681018,72.72482791681767,75.20150196591824,43.15970000096592,41.847326942055616,3.055174041297935,34.60997991792875,46.30774245781682
ts,1,holothurian,3,3,1022,78.0212223405063,69.12124631794654,73.30207487470483,74.71365674958805,41.23119000684834,41.50515451566989,2.953847636112159,34.071094345231415,46.12366316126019
ts,2,holothurian,3,3,1022,77.41932801989059,70.54794520547945,73.82408815053869,75.53956222702605,43.05080523397836,42.118353182630756,5.759530837004406,35.0927412649826,47.26919617558842
ts,0,scallop,4,4,1337,84.79573625487876,75.50155182368842,79.8792013516486,83.71568181777344,60.09821282004564,52.64122670258712,16.551985287022863,36.41720399739975,59.030387911861645
ts,1,scallop,4,4,1337,86.49446435572136,76.16269314100279,81.00044840944527,84.81284330437688,60.83608222324139,53.161241619337204,16.676016003742493,32.750928671373984,59.83004536132097
ts,2,scallop,4,4,1337,83.50526056463377,76.2902019446522,79.73484468054285,84.62963149114191,60.44078682532763,53.00977012887217,17.25159716517865,34.18136578648278,59.421980361237544
te,0,echinus,1,1,3556,88.54230145624462,88.61079865016873,88.57653681080343,92.86550540628086,59.85955620243138,55.1200902124783,31.457281541252343,52.49816780975637,54.59251356083191
te,1,echinus,1,1,3556,89.40628228377643,87.00787401574803,88.19077457656604,92.42750749809476,59.495877191391024,54.89048981267249,33.21899228300279,51.9703844141576,55.16807087171437
te,2,echinus,1,1,3556,88.05723191689303,88.32992826465681,88.19336929510814,92.49531184863476,59.33519256692041,54.62256585270379,32.476783808064454,52.56428200180554,54.96399498222419
te,0,starfish,2,2,1133,82.54428278081348,84.11297440423654,83.32124579548704,89.292877288792,63.81630245334831,55.93307868885747,19.532781391840125,54.22798715655668,54.937998577032786
te,1,starfish,2,2,1133,83.92690241020601,84.64254192409533,84.2832030902033,89.41151541022678,64.64876742140558,55.86637433120381,23.15617230575824,54.40504069757212,55.86052674760948
te,2,starfish,2,2,1133,83.8920651696387,85.5251544571933,84.70073876988512,89.96678937924706,64.03821877033295,55.89156958229924,19.73358407222711,54.65073172343629,56.66576582592538
te,0,holothurian,3,3,1022,79.18378785662459,69.27592954990214,73.8992449248561,75.68073795510313,41.583510867667655,41.763938111172585,0.26537775553706977,33.95939753336794,46.85739634724054
te,1,holothurian,3,3,1022,80.7964411365376,67.90606653620353,73.79254853967637,75.32848792376305,41.19646679072769,41.04448377629611,0.3684869591346154,33.79356310285709,46.300894061016145
te,2,holothurian,3,3,1022,78.68686032284195,69.72064013722861,73.93289766474149,76.43583575139978,44.65408501720124,43.14889911024152,1.0060951695941855,35.0947361924274,49.33064754416261
te,0,scallop,4,4,1337,84.47342488590544,76.50167181036498,80.29016114849497,84.76019542527115,60.3172966371045,53.177987420143616,18.120025968859117,33.93414354597656,58.92238720878987
te,1,scallop,4,4,1337,86.16101963561238,74.50670565853812,79.91117964080388,85.08146058791783,61.1595806430509,53.666716583501525,18.602874496555682,35.8637782139727,59.93105332963682
te,2,scallop,4,4,1337,81.85954087242143,78.38444278234854,80.08431082851003,84.96415127744537,62.5150914900061,53.61969456800322,15.455574154747195,34.93961095935029,59.914958234374915
se,0,echinus,1,1,3556,88.72191562641099,87.38379937526919,88.0477737501465,92.19848827368666,59.999049894321935,55.0412480741158,32.66871752448678,52.18407648160538,56.16658937884827
se,1,echinus,1,1,3556,87.96083313834174,88.58267716535433,88.27065998274988,92.70566661681234,60.35337658403239,55.500915169593355,33.956201346600984,53.48154630978581,55.53767938967075
se,2,echinus,1,1,3556,88.6913635254761,87.99991232129649,88.34428498514565,92.16791103899563,61.446277413254236,55.32203486261977,33.009073281709234,53.202718905793645,55.63060422444427
se,0,starfish,2,2,1133,83.10455521939345,84.28949691085613,83.69283210842711,89.8421433971682,62.26417742649689,55.58271887315567,18.99382169041767,54.110877046121765,56.101745478749685
se,1,starfish,2,2,1133,82.84112075979722,84.37083687892749,83.59898161821069,89.43585020500511,64.30048908337483,56.07882675470201,18.64664591124566,53.91309308210528,55.02905024718382
se,2,starfish,2,2,1133,83.45339831864902,85.34863195057369,84.39037571720077,90.35899176752189,64.41505282233439,56.64039801237808,19.80160925847463,54.263927241864366,56.87960395896944
se,0,holothurian,3,3,1022,78.65380657944056,70.66503599530925,74.44571598955245,75.93194275473294,42.818534145029815,41.40135504188846,0.6537050266715161,34.52843833413872,42.77496669227535
se,1,holothurian,3,3,1022,77.38148702669255,69.86301369863014,73.43029942083896,75.41773503756006,43.256990017084284,41.778774902468186,0.22749873065168097,34.27871697817814,47.0644125177717
se,2,holothurian,3,3,1022,77.94572069215972,69.50959008338175,73.4863337993042,75.68371134866972,40.24667474201904,41.169380432341,4.614606201692368,33.60282751163656,46.426158339458425
se,0,scallop,4,4,1337,84.82937388627616,74.71952131637995,79.45414103055796,84.29496021026542,59.07926344159022,52.45925181753176,18.32121827407959,33.65268142083494,58.653405864941064
se,1,scallop,4,4,1337,81.01833752098635,76.81376215407629,78.86004584958329,84.07761572760649,59.94704008881302,52.387468213485,16.896926368475302,33.20375705005928,58.661674185546765
se,2,scallop,4,4,1337,82.42988136521612,77.19715431757317,79.72775094032424,84.68506209114621,60.49377086967669,52.88128994729535,17.277600534678015,35.65809586834766,59.278670456947125
